drug_id,drug_name,treats,causes
DB00168,Aspartame,,diarrhea; diarrhea
DB00169,Cholecalciferol,,hyperthermia; weakness; weight loss; anorexia; polydipsia; pain; headache; muscle pain; bone pain; weakness; photophobia; rhinorrhea; hypertension; nausea; vomiting; constipation; anorexia; polyuria; nocturia; muscle pain; weakness; bone pain; polyuria; polydipsia; weight loss; decreased libido; weakness; weakness; anorexia; weight loss; conjunctivitis; anorexia; hypertension; pancreatitis
DB00170,Menadione,,anemia
DB00175,Pravastatin,,pain; abdominal pain; nausea; gas; abdominal pain; diarrhea; constipation; myositis; diarrhea; abdominal pain
DB00176,Fluvoxamine,depression; bulimia; depression,sweating; anorexia; headache; nausea; constipation; anorexia; rash; sweating; anorexia; rash; mania; anorexia
DB00177,Valsartan,hypertension; hypertension; coronary artery disease; heart failure,
DB00178,Ramipril,hypertension; hypertension; heart failure; diabetes,asthenia; edema; pain; pressure; headache; chest pain; dizziness; dyspnea; chest pain; bradycardia; hypotension; edema; peripheral edema; nausea; impotence; arthritis; rash; bradycardia; rash; dyspnea; hypotension; arthritis
DB00179,Masoprocol,,dizziness; wheezing; wheezing
DB00180,Flunisolide,asthma; asthma,
DB00181,Baclofen,pain; rigidity,
DB00182,Amphetamine,narcolepsy; attention deficit; hyperactivity,pain; chest pain; chest pain; agitation
DB00184,Nicotine,,diaphoresis; weakness; pain; abdominal pain; dizziness; weakness; confusion; palpitations; hypotension; flushing; nausea; vomiting; abdominal pain; diarrhea; weakness; flushing; palpitations; weakness; weakness; diarrhea; abdominal pain; confusion; hypotension
DB00186,Lorazepam,anxiety,depression; depression
DB00187,Esmolol,tachycardia; atrial fibrillation; atrial flutter; tachycardia,loss of consciousness; bradycardia; hypotension; bradycardia; hypotension
DB00188,Bortezomib,,pressure; hypotension; hypotension
DB00189,Ethchlorvynol,insomnia,thrombocytopenia
DB00190,Carbidopa,paralysis,weakness; weakness; confusion; irregular heartbeat; nausea; vomiting; diarrhea; weakness; weakness; weakness; diarrhea; agitation; confusion
DB00191,Phentermine,,collapse; convulsion; delirium; tachycardia; arrhythmia; hypertension; tachycardia; arrhythmia; mania; hypertension; arrhythmia
DB00192,Indecainide,tachycardia; ventricular tachycardia; tachycardia,syncope; tachycardia; bradycardia; ventricular tachycardia; hypotension; syncope; nausea; vomiting; tachycardia; bradycardia; hypotension
DB00193,Tramadol,pain; constipation; depression; osteoarthritis; depression,
DB00194,Vidarabine,herpes,
DB00195,Betaxolol,hypertension; hypertension,bronchospasm; bradycardia; hypotension; bradycardia; hypotension; heart failure
DB00197,Troglitazone,diabetes,
DB00198,Oseltamivir,influenza,nausea; vomiting
DB00199,Erythromycin,cough; whooping cough; pertussis; cough; urethritis; syphilis,nausea; vomiting; diarrhea; diarrhea
DB00200,Hydroxocobalamin,diarrhea; diarrhea; hyperthyroidism; anemia,
DB00201,Caffeine,fatigue; apnea; hypotension; orthostatic hypotension; fatigue; fatigue; fatigue; hypotension,
DB00203,Sildenafil,hypertension; erectile dysfunction; erectile dysfunction; hypertension,
DB00204,Dofetilide,atrial fibrillation; atrial flutter,
DB00205,Pyrimethamine,malaria,
DB00206,Reserpine,hypertension; hypertension,
DB00207,Azithromycin,,jaundice; angioedema; jaundice; jaundice; angioedema
DB00208,Ticlopidine,,hypothermia; dyspnea; purpura; purpura; dyspnea; anemia; thrombocytopenia
DB00209,Trospium,frequency; urinary frequency; urgency; incontinence,
DB00211,Midodrine,hypotension; orthostatic hypotension; hypotension,hypertension; hypertension
DB00212,Remikiren,hypertension; hypertension; heart failure,
DB00213,Pantoprazole,,tremor; ataxia; ataxia; tremor
DB00214,Torasemide,edema; hypertension; edema; hypertension; heart failure,dehydration; hypotension; hypotension
DB00215,Citalopram,depression; agitation; dementia; neuropathy; depression; dementia,sweating; dizziness; tremor; amnesia; confusion; hyperventilation; tachycardia; arrhythmia; cyanosis; nausea; vomiting; cyanosis; sweating; tremor; tachycardia; arrhythmia; cyanosis; confusion; amnesia; insomnia; hyperactivity; arrhythmia
DB00216,Eletriptan,migraine; migraine,hypertension; hypertension
DB00217,Bethanidine,hypertension; hypertension,
DB00218,Moxifloxacin,conjunctivitis; bronchitis; pneumonia,tremor; vomiting; diarrhea; tremor; diarrhea
DB00220,Nelfinavir,hiv,fatigue; weight loss; thirst; increased urination; weight loss; hunger; fatigue; fatigue; fatigue; weight loss
DB00221,Isoetarine,wheezing; wheezing; asthma; bronchitis; asthma,headache; palpitations; tachycardia; nausea; palpitations; tachycardia
DB00222,Glimepiride,diabetes,seizure
DB00224,Indinavir,hiv,angina; angina
DB00226,Guanadrel,hypertension; hypertension,fatigue; headache; dizziness; nasal congestion; gas; diarrhea; constipation; loss of appetite; fatigue; fatigue; fatigue; diarrhea
DB00228,Enflurane,,headache; dizziness; hypotension; nausea; vomiting; depression; hypotension; depression
DB00229,Cefotiam,,distress; nausea; vomiting; diarrhea; diarrhea
DB00230,Pregabalin,pain; fibromyalgia; neuralgia; neuropathic pain; fibromyalgia; fibromyalgia; neuralgia; neuropathy,weight gain; edema; dizziness; blurred vision; edema; peripheral edema; nausea; weight gain
DB00231,Temazepam,insomnia,
DB00232,Methyclothiazide,edema; hypertension; edema; hypertension; heart failure; cirrhosis,weakness; dizziness; weakness; confusion; weakness; weakness; weakness; confusion
DB00233,Aminosalicylic Acid,tuberculosis,
DB00234,Reboxetine,depression; depression,
DB00235,Milrinone,heart failure,
DB00237,Butabarbital,anxiety; insomnia,fever; weakness; weakness; confusion; shortness of breath; weakness; weakness; weakness; fever; irritability; confusion
DB00238,Nevirapine,hiv,fever; fatigue; edema; headache; vertigo; edema; erythema; nausea; vomiting; rash; erythema; fatigue; fatigue; fever; fatigue; rash; insomnia
DB00239,Oxiconazole,,burning; erythema; rash; dermatitis; pruritus; erythema; nodules; rash; dermatitis
DB00240,Alclometasone,,rash; hives; itching; rash
DB00241,Butalbital,pain,confusion; hypotension; depression; confusion; hypotension; depression
DB00242,Cladribine,anemia; leukemia; lymphoma; thrombocytopenia,paraparesis; anemia; thrombocytopenia
DB00243,Ranolazine,angina; angina,dizziness; syncope; loss of consciousness; paresthesia; confusion; diplopia; syncope; nausea; vomiting; confusion
DB00245,Benzatropine,,hyperthermia; weakness; pressure; headache; dizziness; numbness; weakness; ataxia; confusion; delirium; blurred vision; palpitations; tachycardia; nausea; vomiting; constipation; dysuria; weakness; muscle weakness; ataxia; anhidrosis; palpitations; tachycardia; weakness; weakness; confusion
DB00246,Ziprasidone,schizophrenia,
DB00247,Methysergide,headache,dizziness; tachycardia; cyanosis; cyanosis; tachycardia; cyanosis; euphoria; hyperactivity
DB00248,Cabergoline,,syncope; nasal congestion; syncope
DB00249,Idoxuridine,herpes,increased sensitivity
DB00250,Dapsone,dermatitis; dermatitis,pressure; syncope; nasal congestion; syncope
DB00252,Phenytoin,,pressure; low blood pressure; nausea; vomiting
DB00253,Medrysone,conjunctivitis,
DB00254,Doxycycline,malaria,anorexia; hypertension; nausea; dysphagia; anorexia; dermatitis; urticaria; purpura; purpura; anorexia; urticaria; anorexia; hypertension; dermatitis; urticaria; thrombocytopenia; anaphylaxis
DB00255,Diethylstilbestrol,,nausea; vomiting
DB00256,Lymecycline,malaria,nausea; vomiting; dysphagia; dermatitis; dermatitis
DB00257,Clotrimazole,,edema; burning; edema; erythema; urticaria; pruritus; erythema; urticaria; urticaria
DB00258,Calcium Acetate,,loss of consciousness; confusion; nausea; vomiting; constipation; loss of appetite; confusion
DB00259,Sulfanilamide,,swelling; burning; swelling; redness; rash; swelling; itching; redness; rash
DB00260,Cycloserine,tuberculosis,headache; dizziness; numbness; tingling; paralysis; confusion; irritability; confusion
DB00261,Anagrelide,,thrombocytopenia
DB00262,Carmustine,tumors,nausea; thrombocytopenia
DB00263,Sulfisoxazole,conjunctivitis; malaria,
DB00264,Metoprolol,migraine; angina; angina; hypertension; hypertension; heart failure; migraine,bronchospasm; bradycardia; hypotension; bradycardia; hypotension
DB00267,Cefmenoxime,,distress; nausea; vomiting; diarrhea; diarrhea
DB00268,Ropinirole,,pain; pressure; chest pain; dizziness; confusion; chest pain; low blood pressure; nausea; vomiting; agitation; confusion
DB00269,Chlorotrianisene,menopause,nausea; vomiting
DB00270,Isradipine,hypertension; hypertension,lethargy; tachycardia; hypotension; tachycardia; hypotension
DB00273,Topiramate,migraine; migraine,pain; pressure; abdominal pain; dizziness; blurred vision; double vision; low blood pressure; abdominal pain; diarrhea; diarrhea; abdominal pain; depression; agitation; depression
DB00274,Cefmetazole,,distress; nausea; vomiting; diarrhea; diarrhea
DB00275,Olmesartan,hypertension; hypertension,pressure; low blood pressure
DB00276,Amsacrine,,nausea; vomiting; diarrhea; diarrhea
DB00277,Theophylline,asthma; bronchitis; emphysema; asthma,
DB00278,Argatroban,thrombocytopenia,
DB00279,Liothyronine,hypothyroidism,
DB00280,Disopyramide,tachycardia; ventricular tachycardia; tachycardia,
DB00281,Lidocaine,anesthesia,bradycardia; bradycardia
DB00283,Clemastine,sneezing; rhinorrhea; rhinitis; urticaria; angioedema; pruritus; urticaria; angioedema; rhinitis; urticaria; common cold,fever; hyperthermia; twitching; ataxia; incoordination; cyanosis; flushing; ataxia; flushing; cyanosis; cyanosis; fever; depression; depression
DB00284,Acarbose,diabetes,
DB00285,Venlafaxine,pain; neuropathic pain; anxiety; panic; phobia; anxiety disorder,seizure; depression; depression
DB00286,Conjugated estrogens,menopause,nausea; vomiting
DB00287,Travoprost,pressure; hypertension; hypertension,
DB00289,Atomoxetine,hyperactivity,agitation; hyperactivity
DB00290,Bleomycin,,fever; chills; confusion; wheezing; nausea; vomiting; fever; wheezing; confusion
DB00291,Chlorambucil,leukemia; lymphoma,
DB00292,Etomidate,anesthesia,pain; myoclonus
DB00293,Raltitrexed,,fever; chills; tiredness; weakness; pain; chest pain; sore throat; weakness; cough; shortness of breath; sore throat; chest pain; loose stools; weakness; bruising; weakness; weakness; fever; cough
DB00294,Etonogestrel,,nausea; vomiting
DB00295,Morphine,pain,pressure
DB00296,Ropivacaine,anesthesia,dizziness; collapse; loss of consciousness; tingling; tremor; tinnitus; blurred vision; apnea; bradycardia; hypotension; tremor; bradycardia; depression; hypotension; depression
DB00297,Bupivacaine,anesthesia,seizure
DB00299,Penciclovir,,pain; headache; abdominal pain; dizziness; nausea; dyspepsia; abdominal pain; dyspepsia; abdominal pain
DB00300,Tenofovir disoproxil,hepatitis; hiv; hepatitis,
DB00302,Tranexamic Acid,hemophilia,hypotension; nausea; vomiting; hypotension
DB00303,Ertapenem,pneumonia; pyelonephritis,
DB00304,Desogestrel,,nausea
DB00305,Mitomycin,,nausea; vomiting
DB00306,Talbutal,,confusion; hypotension; depression; confusion; hypotension; depression
DB00307,Bexarotene,lymphoma,
DB00308,Ibutilide,atrial fibrillation; atrial flutter,depression; depression
DB00309,Vindesine,lymphoma,
DB00310,Chlorthalidone,hypertension; hypertension,weakness; dizziness; weakness; nausea; weakness; weakness; weakness
DB00311,Ethoxzolamide,epilepsy,
DB00312,Pentobarbital,insomnia,incoordination
DB00313,Valproic Acid,headache; migraine; seizure; mania; migraine,
DB00314,Capreomycin,tuberculosis,
DB00315,Zolmitriptan,migraine; migraine,
DB00316,Acetaminophen,fever; fever,
DB00317,Gefitinib,,diarrhea; rash; rash; diarrhea
DB00318,Codeine,pain; cough; cough,apnea; bradycardia; hypotension; nausea; vomiting; bradycardia; depression; hypotension; depression
DB00320,Dihydroergotamine,headache; migraine; migraine; cluster headache,pain; pressure; abdominal pain; numbness; tingling; confusion; nausea; vomiting; abdominal pain; abdominal pain; confusion
DB00321,Amitriptyline,pain; migraine; depression; agitation; insomnia; irritable bowel syndrome; migraine; neuropathy; depression,pressure; confusion; delirium; blurred vision; tachycardia; irregular heartbeat; hypertension; hypotension; low blood pressure; postural hypotension; constipation; tachycardia; depression; anxiety; confusion; insomnia; hypertension; hypotension; heart failure; depression
DB00322,Floxuridine,,nausea; vomiting; diarrhea; diarrhea; depression; thrombocytopenia; depression
DB00324,Fluorometholone,,conjunctivitis
DB00325,Nitroprusside,pressure; heart failure,hypotension; hypotension
DB00326,Calcium Gluceptate,tetany,pressure; increased sensitivity; confusion; high blood pressure; frequency; confusion
DB00327,Hydromorphone,pain,collapse; apnea; bradycardia; hypotension; nausea; vomiting; bradycardia; depression; hypotension; depression
DB00328,Indomethacin,arthritis; arthritis; osteoarthritis; rheumatoid arthritis,lethargy; headache; dizziness; numbness; confusion; disorientation; nausea; vomiting; confusion; disorientation
DB00330,Ethambutol,tuberculosis,malaise; pain; headache; abdominal pain; joint pain; dizziness; confusion; disorientation; abdominal pain; joint pain; pruritus; malaise; abdominal pain; confusion; disorientation; neuropathy
DB00331,Metformin,,malaise; weakness; discomfort; headache; dizziness; weakness; nausea; vomiting; diarrhea; weakness; weakness; weakness; malaise; diarrhea
DB00332,Ipratropium bromide,bronchospasm; bronchitis; emphysema,
DB00333,Methadone,pain; cough; dry cough; cough,collapse; apnea
DB00334,Olanzapine,schizophrenia,dysarthria; tachycardia; tachycardia; agitation
DB00335,Atenolol,angina; angina,weakness; dizziness; fainting; weakness; confusion; shortness of breath; fainting; nausea; vomiting; weakness; weakness; weakness; confusion
DB00336,Nitrofural,,dermatitis; dermatitis
DB00337,Pimecrolimus,dermatitis; dermatitis,burning; burning sensation; erythema; pruritus; erythema
DB00338,Omeprazole,reflux; heartburn; heartburn,diaphoresis; headache; confusion; blurred vision; tachycardia; flushing; nausea; flushing; tachycardia; confusion
DB00339,Pyrazinamide,tuberculosis,fever; malaise; anorexia; nausea; vomiting; anorexia; dysuria; urticaria; fever; malaise; anorexia; urticaria; anorexia; urticaria; anemia
DB00340,Metixene,,ataxia; confusion; disorientation; delirium; secretions; tachycardia; flushing; ataxia; flushing; dry skin; dry skin; tachycardia; anxiety; agitation; paranoia; confusion; disorientation; hyperactivity
DB00341,Cetirizine,rhinitis; urticaria; urticaria; rhinitis; urticaria,irritability
DB00342,Terfenadine,fever; rhinitis; fever; rhinitis,headache; confusion; nausea; confusion
DB00343,Diltiazem,hypertension; hypertension,
DB00344,Protriptyline,depression; depression,discomfort; pressure; headache; dizziness; confusion; delirium; blurred vision; tachycardia; irregular heartbeat; hypertension; hypotension; low blood pressure; postural hypotension; flushing; constipation; impotence; rash; flushing; tachycardia; decreased libido; rash; depression; anxiety; confusion; insomnia; hypertension; hypotension; heart failure; depression
DB00346,Alfuzosin,straining; urgency,fatigue; headache; dizziness; hypotension; postural hypotension; fatigue; fatigue; fatigue; hypotension
DB00347,Trimethadione,,dizziness; clumsiness; nausea
DB00349,Clobazam,epilepsy,pyrexia; lethargy
DB00350,Minoxidil,hypertension; alopecia; hair loss; alopecia; hypertension,weight gain; dizziness; hypotension; weight gain; hypotension
DB00351,Megestrol acetate,weight loss; anorexia; anorexia; weight loss; anorexia; weight loss; anorexia; immunodeficiency; aids,
DB00352,Tioguanine,,diaphoresis; malaise; hypotension; nausea; vomiting; malaise; hypotension
DB00353,Methylergometrine,,headache; hypertension; hypotension; nausea; vomiting; hypertension; hypotension
DB00354,Buclizine,dizziness; vertigo; nausea; vomiting,
DB00356,Chlorzoxazone,discomfort,headache; dizziness; nausea; vomiting; diarrhea; diarrhea
DB00357,Aminoglutethimide,,fatigue; lethargy; dehydration; dizziness; ataxia; hypotension; nausea; vomiting; ataxia; fatigue; fatigue; fatigue; depression; hypotension; depression
DB00358,Mefloquine,malaria,weight loss; nausea; vomiting; weight loss; weight loss
DB00359,Sulfadiazine,fever; fever,
DB00363,Clozapine,schizophrenia,
DB00366,Doxylamine,allergy,fever; swelling; cough; wheezing; swelling; swelling; itching; fever; wheezing; cough
DB00368,Norepinephrine,hypotension; hypotension,
DB00369,Cidofovir,immunodeficiency; aids,
DB00370,Mirtazapine,,disorientation; tachycardia; tachycardia; disorientation
DB00371,Meprobamate,anxiety,
DB00372,Thiethylperazine,nausea; vomiting,confusion; hypotension; depression; confusion; hypotension; depression
DB00373,Timolol,pressure; migraine; high blood pressure; migraine,headache; vertigo
DB00374,Treprostinil,hypertension; hypertension,headache; hypotension; flushing; nausea; vomiting; diarrhea; flushing; diarrhea; hypotension
DB00375,Colestipol,,abdominal cramps; nausea; vomiting; abdominal cramps; diarrhea; constipation; diarrhea
DB00376,Trihexyphenidyl,,hyperthermia; confusion; depression; agitation; confusion; depression
DB00377,Palonosetron,nausea; vomiting,collapse; cyanosis; pallor; pallor; cyanosis; pallor; cyanosis
DB00379,Mexiletine,tachycardia; ventricular tachycardia; tachycardia,collapse; paresthesia; bradycardia; heart block; hypotension; nausea; bradycardia; hypotension
DB00381,Amlodipine,angina; angina; hypertension; hypertension,tachycardia; hypotension; tachycardia; hypotension
DB00382,Tacrine,dementia; dementia,sweating; weakness; collapse; weakness; bradycardia; hypotension; nausea; vomiting; weakness; muscle weakness; sweating; bradycardia; weakness; weakness; hypotension
DB00383,Oxyphencyclimine,peptic ulcer,
DB00384,Triamterene,edema; edema; heart failure; cirrhosis,weakness; weakness; hypotension; nausea; vomiting; weakness; weakness; weakness; hypotension
DB00388,Phenylephrine,pressure; nasal congestion; tachycardia; hypotension; tachycardia; hypotension,
DB00389,Carbimazole,hyperthyroidism,
DB00390,Digoxin,heart failure,tachycardia; heart block; ventricular tachycardia; tachycardia
DB00391,Sulpiride,schizophrenia,torticollis; torticollis
DB00392,Ethopropazine,,clumsiness; shortness of breath; flushing; flushing
DB00393,Nimodipine,,hypotension; hypotension
DB00394,Beclomethasone dipropionate,rhinitis; rhinitis; asthma; asthma,
DB00395,Carisoprodol,discomfort,weakness; headache; dizziness; giddiness; weakness; ataxia; dysarthria; diplopia; wheezing; tachycardia; hypotension; postural hypotension; erythema; nausea; indigestion; indigestion; weakness; ataxia; rash; erythema; tachycardia; weakness; weakness; rash; wheezing; irritability; insomnia; hypotension; anaphylaxis
DB00396,Progesterone,amenorrhea; amenorrhea,
DB00397,Phenylpropanolamine,nasal congestion; incontinence; priapism,tingling; tachycardia; ventricular tachycardia; tachycardia
DB00398,Sorafenib,,diarrhea; diarrhea
DB00399,Zoledronic acid,tumors,
DB00401,Nisoldipine,hypertension; hypertension,
DB00402,Eszopiclone,insomnia,dizziness; rash; rash
DB00404,Alprazolam,anxiety; panic; anxiety disorder,confusion; confusion
DB00405,Dexbrompheniramine,fever; fever,tiredness; weakness; weakness; irregular heartbeat; weakness; weakness; weakness
DB00406,Gentian Violet,,depression; depression
DB00407,Ardeparin,,bruising
DB00408,Loxapine,schizophrenia,
DB00409,Remoxipride,schizophrenia,
DB00412,Rosiglitazone,diabetes,fluid retention; heart failure
DB00414,Acetohexamide,diabetes,weakness; weakness; nausea; weakness; hunger; weakness; weakness; anxiety
DB00416,Metocurine Iodide,anesthesia,hypotension; hypotension
DB00417,Phenoxymethylpenicillin,fever; fever,pain; stomach pain; nausea; vomiting; stomach pain; diarrhea; diarrhea
DB00418,Secobarbital,insomnia,incoordination
DB00419,Miglustat,allergy,dizziness; paresthesia; immunodeficiency; hiv
DB00420,Promazine,agitation,weight gain; constipation; weight gain
DB00421,Spironolactone,hypertension; hypertension,dizziness; confusion; nausea; vomiting; diarrhea; rash; rash; diarrhea; confusion
DB00422,Methylphenidate,hyperactivity; impulsivity; emotional lability,sweating; headache; twitching; confusion; delirium; palpitations; tachycardia; hypertension; flushing; vomiting; flushing; sweating; palpitations; tachycardia; euphoria; agitation; confusion; hypertension
DB00423,Methocarbamol,,pressure; blurred vision; low blood pressure; nausea
DB00424,Hyoscyamine,colic; rhinitis; colic; rhinitis; peptic ulcer; irritable bowel syndrome; pancreatitis; cystitis,headache; dizziness; blurred vision; nausea; vomiting; dry skin; dry skin
DB00425,Zolpidem,insomnia,
DB00426,Famciclovir,hiv; herpes,fever; fatigue; headache; dizziness; nausea; vomiting; diarrhea; constipation; fatigue; fatigue; fever; fatigue; diarrhea
